f0_0.1;f0_0.2;f0_0.3;f0_0.4;f0_0.5;f0_0.6;f0_0.7;f0_0.8;f0_0.9;f0_1.0
0.57691187;0.5773803;0.5774408;0.57711047;0.57709706;0.5769435;0.5769215;0.5769182;0.577385;0.57738245
0.57750595;0.5770186;0.5774268;0.57715183;0.5770894;0.57703805;0.57720137;0.57728416;0.57736725;0.5805811
0.57695305;0.5770409;0.57708764;0.5771414;0.5771534;0.5772235;0.5770662;0.57669586;0.5775365;0.578616
0.5771463;0.5769996;0.57678944;0.5770654;0.57743925;0.5769227;0.57693;0.5770968;0.57676595;0.65537375
0.5768967;0.57697767;0.5774397;0.57725394;0.5775292;0.57711095;0.5771153;0.5768525;0.57687944;0.57963675
0.5772532;0.57729036;0.5774679;0.5770763;0.5777672;0.5770846;0.57725567;0.5771858;0.5770026;0.5776821
0.57677233;0.57725835;0.5793958;0.57876515;0.5795774;0.5795995;0.5803475;0.5803444;0.580639;0.5812015
0.57732075;0.5771458;0.5848689;0.58530146;0.59311193;0.59327126;0.5925487;0.60033274;0.60065615;0.63216776
0.57696855;0.5769156;0.548614;0.5487314;0.5207726;0.520778;0.52057827;0.49483138;0.49479392;0.52150273
0.5773877;0.57705545;0.577365;0.5771506;0.58009446;0.58028144;0.5802638;0.58016354;0.5800293;0.5819826
0.5770094;0.5768844;0.5770152;0.5772798;0.5776087;0.5780275;0.5778106;0.5776857;0.57805574;0.5787692
0.5773697;0.5774273;0.5769998;0.5768538;0.5866443;0.58635134;0.58619696;0.5865631;0.58680665;0.63148624
0.57705843;0.5779875;0.57875085;0.58004844;0.58070457;0.58199596;0.5847608;0.58793175;0.59074277;0.591828
0.5773468;0.57771814;0.5790787;0.5796808;0.58127785;0.58222705;0.58404726;0.58651733;0.587898;0.58802015
0.57745427;0.57732356;0.5764675;0.5764961;0.5760254;0.5757709;0.5766619;0.5774789;0.580042;0.59418464
0.57752615;0.5770076;0.5770078;0.57981133;0.5797937;0.5794791;0.58156157;0.5810958;0.58168024;0.5827647
0.5773627;0.57715386;0.57712334;0.5850961;0.58538955;0.58513916;0.5927192;0.59284425;0.59233564;0.624956
0.57689565;0.5773742;0.57664704;0.5764232;0.5769526;0.5769154;0.57709515;0.5783521;0.5793401;0.58620477
