f3_0.25;f3_0.5;f3_0.75;f3_1.0
0.33239716;0.3320197;0.33316725;0.33274493
0.3329097;0.33285618;0.33207396;0.32920977
0.33257416;0.33278155;0.33271497;0.33184567
0.33256894;0.33275747;0.33297607;0.25861827
0.332659;0.33289117;0.3319342;0.329763
0.3325125;0.33185515;0.33255303;0.33242542
0.3311031;0.33003443;0.33020505;0.32879734
0.32861012;0.32266757;0.31713665;0.28720653
0.3615795;0.38945028;0.41518682;0.3888424
0.33245268;0.32997712;0.3312377;0.32932457
0.33240154;0.33242667;0.33259237;0.33182827
0.33259636;0.3274766;0.32685763;0.283982
0.33410496;0.33495083;0.33278796;0.3264971
0.33462858;0.33411688;0.33211997;0.3284593
0.33672798;0.34023985;0.34318018;0.32818452
0.33290145;0.329915;0.32932544;0.328652
0.3328625;0.3284439;0.32177356;0.290958
0.3331094;0.33615848;0.3356896;0.32872477
