f0_0.25;f0_0.5;f0_0.75;f0_1.0
0.82529294;0.82044303;0.82156605;0.8207103
0.8204119;0.821839;0.82236254;0.82233644
0.82026094;0.82063466;0.8225548;0.821623
0.8230587;0.82446206;0.8262696;0.82809055
0.82124597;0.8213582;0.8202505;0.8224494
0.8209441;0.82180464;0.8215733;0.82095915
0.8203544;0.8217556;0.82156235;0.8228841
0.82645196;0.8307946;0.83391154;0.8391936
0.8212753;0.82160604;0.8221596;0.8205697
0.82066804;0.82119936;0.82202524;0.8235644
0.82132554;0.82100606;0.8218911;0.82173055
0.82385606;0.82639265;0.8292311;0.83083934
0.823893;0.8291469;0.83290124;0.8355294
0.8237046;0.8288582;0.83127195;0.8352244
0.82683295;0.83238643;0.8393003;0.8447019
0.82309735;0.82282525;0.8248417;0.82404846
0.8230477;0.8272915;0.8312121;0.8336429
0.8228964;0.8252447;0.82852745;0.8310093
