f3_0.25;f3_0.5;f3_0.75;f3_1.0
0.33309218;0.33209172;0.33278385;0.33291587
0.3328793;0.33123636;0.3308703;0.3302718
0.33268017;0.3322061;0.3320914;0.3324803
0.3320232;0.3095609;0.2853893;0.2864288
0.33265284;0.33212867;0.33117586;0.33212617
0.3319843;0.33253223;0.33316395;0.3317571
0.33058473;0.33059457;0.329881;0.32859635
0.3224457;0.31224674;0.30079544;0.29035604
0.33986953;0.35027498;0.36101496;0.37626478
0.33125955;0.33202636;0.33003965;0.33009902
0.3322806;0.3326721;0.33178702;0.3326186
0.32057896;0.32067204;0.30801532;0.2949628
0.33196914;0.33050165;0.32887998;0.32776433
0.3315222;0.33008975;0.32996348;0.32866502
0.3311631;0.33052492;0.3294405;0.3270175
0.33115435;0.33049396;0.32928622;0.32863796
0.32541505;0.310491;0.30398718;0.29781336
0.33210236;0.33100668;0.3303201;0.3282967
