f1_0.1;f1_0.2;f1_0.3;f1_0.4;f1_0.5;f1_0.6;f1_0.7;f1_0.8;f1_0.9;f1_1.0
0.42203155;0.42195922;0.4214157;0.42202136;0.42209968;0.42177388;0.42224765;0.42163655;0.42195994;0.42204306
0.42161968;0.421065;0.42062795;0.42035946;0.41992497;0.4196349;0.41916925;0.41854995;0.41823846;0.41832078
0.42150632;0.421665;0.42124388;0.420891;0.4207605;0.42109182;0.42056766;0.42093402;0.42064437;0.42032215
0.41447523;0.40703046;0.39938125;0.3917405;0.3837146;0.37620562;0.36808503;0.36012122;0.35196847;0.34395263
0.42137906;0.42103767;0.42121804;0.4207353;0.42075974;0.42024916;0.41990656;0.4200075;0.4194294;0.41999185
0.42182052;0.42179;0.42188793;0.42150256;0.42162272;0.42165446;0.42159668;0.42148975;0.42150077;0.42167515
0.42127767;0.42060116;0.42013457;0.41977555;0.4195287;0.4189027;0.41819096;0.41847703;0.41788188;0.41785976
0.41628417;0.41058388;0.40503916;0.3992379;0.39369053;0.38796094;0.38256192;0.37689573;0.37187108;0.36654416
0.42639822;0.4312748;0.43647024;0.4420206;0.44702795;0.4525692;0.45824552;0.46446857;0.47046053;0.47737876
0.42169613;0.4206795;0.42046097;0.42010835;0.4194138;0.41898593;0.4184302;0.41869816;0.4179327;0.4175367
0.42161322;0.42142308;0.4211352;0.421543;0.4212484;0.42079112;0.4204795;0.42032957;0.4203463;0.4199058
0.41668284;0.41103864;0.40554294;0.40018052;0.3943833;0.38924322;0.38378394;0.37806848;0.37259722;0.36735553
0.42035362;0.41925985;0.41773978;0.41650212;0.41532543;0.41380355;0.4127765;0.4112536;0.40991363;0.40874445
0.42059347;0.4194981;0.41824675;0.41763794;0.41621622;0.41497934;0.41404343;0.41241854;0.4112132;0.41034225
0.41999963;0.41840208;0.41670516;0.41497552;0.41344687;0.4115013;0.41023296;0.4083529;0.40640047;0.40497026
0.4211935;0.42042017;0.41991648;0.41901645;0.4181727;0.4176672;0.41762096;0.41698933;0.4163845;0.41589764
0.41693258;0.41207308;0.40700203;0.40269598;0.397338;0.39263323;0.38763195;0.38281223;0.37824383;0.37334895
0.4210016;0.42005417;0.41906056;0.4181165;0.41724166;0.4164247;0.41507232;0.414316;0.41387388;0.41255656
