f1_0.1;f1_0.2;f1_0.3;f1_0.4;f1_0.5;f1_0.6;f1_0.7;f1_0.8;f1_0.9;f1_1.0
0.42159352;0.42175028;0.42176214;0.42149857;0.42211607;0.42171618;0.4218115;0.42168364;0.42223233;0.4218082
0.422121;0.42175838;0.42179555;0.42211306;0.42228234;0.42182177;0.4219423;0.42193744;0.42202365;0.41768533
0.4216279;0.42211187;0.42207605;0.4216553;0.42191902;0.42167997;0.42171413;0.42182535;0.4216475;0.4207146
0.421869;0.421619;0.42165744;0.4220448;0.4219206;0.42175823;0.422179;0.42190805;0.4217116;0.34354365
0.42201403;0.42142904;0.4219606;0.42179435;0.42158934;0.42207512;0.42168602;0.42181125;0.42158404;0.41939995
0.42219442;0.42197976;0.421569;0.42194745;0.42225733;0.42180935;0.42190543;0.42185706;0.42205933;0.4218415
0.4218362;0.42179316;0.41992503;0.42035738;0.41891363;0.41943374;0.4191303;0.41861102;0.41859013;0.4176935
0.42178017;0.4217854;0.41417754;0.41363394;0.4057042;0.4060197;0.40598202;0.3983461;0.3984637;0.367001
0.42194125;0.42178136;0.45042747;0.45010808;0.4781247;0.47855192;0.47851604;0.50403315;0.5042094;0.47749937
0.42227212;0.42173213;0.42184556;0.42166945;0.4188556;0.41921005;0.41843435;0.41895398;0.41891682;0.4170659
0.4219387;0.42200238;0.4219395;0.42203274;0.42103004;0.42060503;0.42143655;0.4215249;0.42084017;0.42000774
0.42176157;0.42183536;0.4219416;0.42195836;0.41225582;0.4121081;0.41254225;0.41310832;0.41219804;0.36739492
0.42185348;0.42126775;0.41984096;0.41955402;0.4182312;0.4167203;0.4143488;0.41104573;0.40851915;0.4076401
0.42214727;0.42115864;0.42004317;0.4190996;0.41821098;0.41698512;0.41478077;0.4125097;0.41132706;0.4105158
0.42187154;0.42173043;0.42216805;0.4228832;0.4227773;0.42292982;0.42272055;0.42115438;0.4187998;0.40499252
0.42180815;0.42224893;0.42162365;0.41910252;0.41923085;0.41933838;0.4172625;0.41769278;0.4173506;0.41642344
0.421843;0.42194152;0.42189816;0.41353154;0.41380835;0.41385522;0.40680262;0.40669322;0.40646687;0.3736317
0.42216453;0.4218863;0.42195308;0.42218903;0.4222051;0.4218635;0.42132202;0.42085305;0.41946712;0.41259003
