f0_0.1;f0_0.2;f0_0.3;f0_0.4;f0_0.5;f0_0.6;f0_0.7;f0_0.8;f0_0.9;f0_1.0
0.82453555;0.82058865;0.8203794;0.82115996;0.8202341;0.8207642;0.8207154;0.8203852;0.82091475;0.82097083
0.8208365;0.8208526;0.8215518;0.8217797;0.8216054;0.8215383;0.8222827;0.8223787;0.822372;0.82219315
0.8213131;0.8213476;0.8208582;0.82125217;0.8210353;0.8218538;0.821936;0.82169574;0.82183224;0.82192725
0.82186776;0.822514;0.8229563;0.82394147;0.8248965;0.8262222;0.8261038;0.82730275;0.8278812;0.82854646
0.8209678;0.82082003;0.8208001;0.8211459;0.820749;0.82112366;0.8207529;0.8210717;0.82100713;0.8204938
0.82083595;0.82076865;0.8206542;0.82082784;0.8207896;0.82048565;0.8207121;0.8204652;0.82030606;0.820895
0.82093775;0.8212249;0.8210188;0.8212715;0.82163835;0.8214702;0.82171696;0.8220248;0.8218818;0.82225114
0.8226863;0.8243534;0.8261979;0.8283728;0.830431;0.83181685;0.83384854;0.83578914;0.83753717;0.83892167
0.82100457;0.8207448;0.82127345;0.82113606;0.8211635;0.821677;0.82175696;0.8221444;0.82165015;0.82188463
0.82076067;0.821038;0.821635;0.8214243;0.82188666;0.822142;0.82261765;0.82230836;0.82268864;0.8231901
0.82077265;0.8213394;0.8211455;0.82119775;0.8216449;0.8218075;0.82186246;0.82213926;0.8218566;0.8223376
0.8217171;0.8230497;0.8239402;0.8249308;0.8263093;0.8269647;0.8280735;0.829363;0.8302807;0.8315283
0.82235265;0.8240524;0.8253527;0.8271943;0.82865834;0.83007294;0.8318289;0.83334905;0.8347483;0.8362808
0.8224154;0.8237119;0.82527685;0.82677096;0.828194;0.82982665;0.8310779;0.83226776;0.8340985;0.83547586
0.8232227;0.82556385;0.82750165;0.8301113;0.8325364;0.8350168;0.8374266;0.8395526;0.84254897;0.84459513
0.8209901;0.8217763;0.8219654;0.82250994;0.8224113;0.8231275;0.82364076;0.8237606;0.8243501;0.8245217
0.8223474;0.8234271;0.82499874;0.8261521;0.8271581;0.8288377;0.8301254;0.8312054;0.83255124;0.8334731
0.8218076;0.82303125;0.82348305;0.8245869;0.82586044;0.8266896;0.8276177;0.828339;0.8297139;0.83087105
