f1_0.1;f1_0.2;f1_0.3;f1_0.4;f1_0.5;f1_0.6;f1_0.7;f1_0.8;f1_0.9;f1_1.0
0.42195183;0.4216811;0.42195114;0.42178547;0.42191088;0.42192447;0.421504;0.42173424;0.42202803;0.42199495
0.42217168;0.4219049;0.42057532;0.4207801;0.4204218;0.42041287;0.42074028;0.41916582;0.4194638;0.41895592
0.42183262;0.4215764;0.42143348;0.4212589;0.42174345;0.42129207;0.4215566;0.4208903;0.42051828;0.42096055
0.4219021;0.42195946;0.39774588;0.3976862;0.39770186;0.39755172;0.39767262;0.37164307;0.37210867;0.3717818
0.4219411;0.42176634;0.42043358;0.4206887;0.42108402;0.42124635;0.4209991;0.42030936;0.42014888;0.42051268
0.42175078;0.42205402;0.4217597;0.42167532;0.421549;0.4215179;0.42177406;0.4211914;0.4217828;0.42154208
0.42082626;0.41977274;0.41984254;0.41959468;0.41859004;0.41838983;0.41794088;0.41770944;0.41779265;0.41789055
0.41570923;0.40964642;0.4090154;0.40318927;0.3962618;0.39018637;0.3835959;0.38357162;0.37780747;0.3715765
0.4256075;0.42941698;0.42962492;0.43383688;0.4391225;0.444148;0.44912598;0.44975603;0.45744488;0.46507427
0.4218355;0.42063624;0.42058435;0.4205755;0.42047602;0.4193611;0.4195132;0.41925746;0.41837993;0.41855964
0.42230025;0.42171675;0.4214855;0.42157057;0.42121854;0.42060423;0.42117557;0.42075863;0.41990736;0.4203863
0.4216635;0.40818653;0.4081643;0.4078925;0.40800375;0.39401326;0.3945096;0.39430788;0.38045025;0.38073966
0.420562;0.41886687;0.41781625;0.41671523;0.41503552;0.41382703;0.4122207;0.41107523;0.40974805;0.4085257
0.4204293;0.41873953;0.4173372;0.41635692;0.41486415;0.4134783;0.41239142;0.41136432;0.41069347;0.4104095
0.41997904;0.41790926;0.41700894;0.41490105;0.41327852;0.4117099;0.40991464;0.4085116;0.4066802;0.40508243
0.42041588;0.42058137;0.42036453;0.41921332;0.41841462;0.4182496;0.41814145;0.41755038;0.41610324;0.4165218
0.41377696;0.41342816;0.41339147;0.40500954;0.39681214;0.3967697;0.39699915;0.38855636;0.3807733;0.380659
0.42120886;0.42025742;0.41957042;0.41875738;0.41787404;0.41690025;0.41627738;0.4154725;0.41447136;0.41315827
